"Counter", "IntervalSeconds"
"\LogicalDisk(C:)\% Free Space", "60"
"\LogicalDisk(C:)\Avg. Disk Queue Length", "30"
"\LogicalDisk(C:)\Avg. Disk sec/Transfer", "60"
"\LogicalDisk(C:)\Current Disk Queue Length", "30"
"\Memory(*)\Available Mbytes", "30"
"\Memory(*)\Page Faults/sec", "30"
"\Memory(*)\Pages/sec", "30"
"\Memory(*)\% Committed Bytes In Use", "30"
"\PhysicalDisk(*)\Avg. Disk sec/Read", "30"
"\PhysicalDisk(*)\Avg. Disk sec/Transfer", "30"
"\PhysicalDisk(*)\Avg. Disk sec/Write", "30"
"\PhysicalDisk(*)\Avg. Disk Queue Length", "30"
"\Processor Information(_Total)\% Processor Time", "30"
"\User Input Delay per Process(*)\Max Input Delay", "30"
"\User Input Delay per Session(*)\Max Input Delay", "30"